timestamp,cpu_percent,memory_percent,request_rate,post_scaling
2024-01-15T09:00:00,15.99,37.85,20.0,False
2024-01-15T09:00:30,16.98,36.54,21.8,False
2024-01-15T09:01:00,18.7,40.53,15.3,False
2024-01-15T09:01:30,19.18,40.77,20.5,False
2024-01-15T09:02:00,19.14,34.19,26.1,False
2024-01-15T09:02:30,18.99,32.21,13.5,False
2024-01-15T09:03:00,19.09,35.61,6.6,False
2024-01-15T09:03:30,19.47,41.98,9.4,False
2024-01-15T09:04:00,17.59,37.34,9.1,False
2024-01-15T09:04:30,16.74,37.28,10.6,False
2024-01-15T09:05:00,16.8,30.39,6.9,False
2024-01-15T09:05:30,17.75,34.4,14.2,False
2024-01-15T09:06:00,17.05,32.76,19.7,False
2024-01-15T09:06:30,17.0,37.23,20.1,False
2024-01-15T09:07:00,17.74,37.19,26.9,False
2024-01-15T09:07:30,18.7,40.51,28.7,False
2024-01-15T09:08:00,19.35,32.34,22.2,False
2024-01-15T09:08:30,20.99,36.35,24.1,False
2024-01-15T09:09:00,21.7,38.74,17.7,False
2024-01-15T09:09:30,21.4,38.53,23.3,False
2024-01-15T09:10:00,22.27,44.03,22.5,False
2024-01-15T09:10:30,21.89,38.14,21.0,False
2024-01-15T09:11:00,22.32,35.28,16.8,False
2024-01-15T09:11:30,21.95,37.61,24.6,False
2024-01-15T09:12:00,21.36,34.98,23.0,False
2024-01-15T09:12:30,20.11,30.82,20.0,False
2024-01-15T09:13:00,19.46,35.44,17.9,False
2024-01-15T09:13:30,19.4,42.6,21.4,False
2024-01-15T09:14:00,20.25,34.2,23.4,False
2024-01-15T09:14:30,20.54,35.97,25.3,False
2024-01-15T09:15:00,20.42,37.7,27.1,False
2024-01-15T09:15:30,21.16,36.39,38.9,False
2024-01-15T09:16:00,22.14,34.32,33.6,False
2024-01-15T09:16:30,22.92,45.82,28.5,False
2024-01-15T09:17:00,23.23,42.43,22.4,False
2024-01-15T09:17:30,22.97,39.78,25.7,False
2024-01-15T09:18:00,22.21,37.26,31.6,False
2024-01-15T09:18:30,21.39,38.78,29.2,False
2024-01-15T09:19:00,21.21,39.42,22.8,False
2024-01-15T09:19:30,22.35,38.92,17.4,False
2024-01-15T09:20:00,21.64,38.93,21.7,False
2024-01-15T09:20:30,20.72,40.06,25.9,False
2024-01-15T09:21:00,19.26,35.73,28.3,False
2024-01-15T09:21:30,18.43,31.97,23.0,False
2024-01-15T09:22:00,20.54,39.88,24.0,False
2024-01-15T09:22:30,20.07,32.52,24.1,False
2024-01-15T09:23:00,18.12,34.71,24.8,False
2024-01-15T09:23:30,20.81,38.59,29.3,False
2024-01-15T09:24:00,20.5,38.57,29.2,False
2024-01-15T09:24:30,19.88,36.07,31.9,False
2024-01-15T09:25:00,20.68,36.98,30.5,False
2024-01-15T09:25:30,21.97,38.72,30.7,False
2024-01-15T09:26:00,22.67,35.87,32.9,False
2024-01-15T09:26:30,23.34,43.06,22.2,False
2024-01-15T09:27:00,22.58,35.24,20.0,False
2024-01-15T09:27:30,22.97,37.47,17.1,False
2024-01-15T09:28:00,23.13,36.77,13.7,False
2024-01-15T09:28:30,23.07,38.47,13.0,False
2024-01-15T09:29:00,21.87,42.35,23.0,False
2024-01-15T09:29:30,20.52,34.36,17.4,False
2024-01-15T09:30:00,20.25,38.45,23.6,False
2024-01-15T09:30:30,18.81,38.49,13.0,False
2024-01-15T09:31:00,19.03,40.1,12.0,False
2024-01-15T09:31:30,17.0,33.59,14.2,False
2024-01-15T09:32:00,16.03,33.13,18.6,False
2024-01-15T09:32:30,16.97,35.4,23.1,False
2024-01-15T09:33:00,17.58,35.68,27.4,False
2024-01-15T09:33:30,18.69,33.52,24.2,False
2024-01-15T09:34:00,20.16,39.05,20.8,False
2024-01-15T09:34:30,20.72,38.92,25.8,False
2024-01-15T09:35:00,20.78,43.38,23.8,False
2024-01-15T09:35:30,20.92,36.4,15.6,False
2024-01-15T09:36:00,20.36,34.03,9.4,False
2024-01-15T09:36:30,18.98,33.98,5.5,False
2024-01-15T09:37:00,18.44,37.46,10.7,False
2024-01-15T09:37:30,17.86,33.95,12.9,False
2024-01-15T09:38:00,18.48,38.68,18.1,False
2024-01-15T09:38:30,18.28,34.44,15.8,False
2024-01-15T09:39:00,19.07,37.24,17.4,False
2024-01-15T09:39:30,17.95,36.08,21.6,False
2024-01-15T09:40:00,18.57,33.8,19.5,False
2024-01-15T09:40:30,19.26,32.37,22.3,False
2024-01-15T09:41:00,20.44,40.9,18.0,False
2024-01-15T09:41:30,20.29,38.19,16.1,False
2024-01-15T09:42:00,18.24,32.92,14.4,False
2024-01-15T09:42:30,18.26,33.17,8.1,False
2024-01-15T09:43:00,18.9,42.61,12.8,False
2024-01-15T09:43:30,17.45,33.59,11.0,False
2024-01-15T09:44:00,17.85,41.08,12.5,False
2024-01-15T09:44:30,16.91,36.66,16.5,False
2024-01-15T09:45:00,18.63,31.57,19.7,False
2024-01-15T09:45:30,17.82,34.97,23.7,False
2024-01-15T09:46:00,18.06,38.76,22.6,False
2024-01-15T09:46:30,19.1,31.36,19.7,False
2024-01-15T09:47:00,19.95,35.25,19.2,False
2024-01-15T09:47:30,20.9,35.43,9.2,False
2024-01-15T09:48:00,20.09,38.66,2.2,False
2024-01-15T09:48:30,19.83,38.28,2.0,False
2024-01-15T09:49:00,17.28,37.66,2.0,False
2024-01-15T09:49:30,15.97,36.29,44.9,False
2024-01-15T09:50:00,14.76,36.51,87.7,False
2024-01-15T09:50:30,17.59,32.31,130.6,False
2024-01-15T09:51:00,23.93,39.1,181.5,False
2024-01-15T09:51:30,30.58,45.06,223.7,False
2024-01-15T09:52:00,39.19,43.81,272.6,False
2024-01-15T09:52:30,48.91,45.26,313.5,False
