timestamp,cpu_percent,memory_percent,request_rate,post_scaling
2024-01-15T00:00:00,18.26,34.18,160.5,False
2024-01-15T00:00:30,23.73,36.62,266.9,False
2024-01-15T00:01:00,15.75,31.59,255.8,False
2024-01-15T00:01:30,19.76,34.07,335.0,False
2024-01-15T00:02:00,21.22,34.34,268.8,False
2024-01-15T00:02:30,22.46,37.77,182.2,False
2024-01-15T00:03:00,22.81,34.91,269.8,False
2024-01-15T00:03:30,23.02,32.03,281.8,False
2024-01-15T00:04:00,19.57,34.91,300.9,False
2024-01-15T00:04:30,19.2,34.05,255.5,False
2024-01-15T00:05:00,23.13,35.41,233.9,False
2024-01-15T00:05:30,19.95,36.82,298.1,False
2024-01-15T00:06:00,16.67,27.89,256.1,False
2024-01-15T00:06:30,17.06,36.7,208.5,False
2024-01-15T00:07:00,17.67,35.97,270.2,False
2024-01-15T00:07:30,21.89,34.71,253.3,False
2024-01-15T00:08:00,20.8,34.52,254.5,False
2024-01-15T00:08:30,22.41,37.24,258.1,False
2024-01-15T00:09:00,19.03,35.61,239.9,False
2024-01-15T00:09:30,20.76,34.14,302.3,False
2024-01-15T00:10:00,22.13,32.86,205.6,False
2024-01-15T00:10:30,19.3,38.91,298.5,False
2024-01-15T00:11:00,21.57,37.73,279.6,False
2024-01-15T00:11:30,18.18,34.44,229.8,False
2024-01-15T00:12:00,19.05,34.91,253.2,False
2024-01-15T00:12:30,18.96,35.76,215.3,False
2024-01-15T00:13:00,16.49,34.77,166.7,False
2024-01-15T00:13:30,21.51,31.62,236.9,False
2024-01-15T00:14:00,18.61,33.65,173.1,False
2024-01-15T00:14:30,20.03,34.15,206.1,False
2024-01-15T00:15:00,21.41,35.43,206.3,False
2024-01-15T00:15:30,21.27,37.23,319.1,False
2024-01-15T00:16:00,21.9,32.42,223.8,False
2024-01-15T00:16:30,19.58,32.14,255.0,False
2024-01-15T00:17:00,18.58,32.98,293.3,False
2024-01-15T00:17:30,19.58,35.15,290.7,False
2024-01-15T00:18:00,14.73,34.08,206.0,False
2024-01-15T00:18:30,15.42,36.03,211.8,False
2024-01-15T00:19:00,15.77,32.37,233.3,False
2024-01-15T00:19:30,16.72,35.08,318.2,False
2024-01-15T00:20:00,20.88,36.92,283.5,False
2024-01-15T00:20:30,16.93,34.61,262.2,False
2024-01-15T00:21:00,18.49,34.26,338.6,False
2024-01-15T00:21:30,23.49,36.01,299.1,False
2024-01-15T00:22:00,18.5,32.19,293.9,False
2024-01-15T00:22:30,21.75,33.68,293.1,False
2024-01-15T00:23:00,16.71,34.12,252.2,False
2024-01-15T00:23:30,18.87,34.4,212.4,False
2024-01-15T00:24:00,16.61,32.55,187.7,False
2024-01-15T00:24:30,18.41,35.61,226.8,False
2024-01-15T00:25:00,21.92,35.64,310.7,False
2024-01-15T00:25:30,14.19,30.35,246.9,False
2024-01-15T00:26:00,20.65,34.87,318.5,False
2024-01-15T00:26:30,20.03,36.74,259.8,False
2024-01-15T00:27:00,17.51,31.79,261.6,False
2024-01-15T00:27:30,14.93,32.97,241.1,False
2024-01-15T00:28:00,19.46,34.7,251.3,False
2024-01-15T00:28:30,17.62,32.38,228.1,False
2024-01-15T00:29:00,42.79,45.9,683.0,False
2024-01-15T00:29:30,65.7,54.8,919.5,False
2024-01-15T00:30:00,88.61,69.62,1104.7,False
2024-01-15T00:30:30,87.02,65.87,1141.5,False
2024-01-15T00:31:00,88.44,71.46,1156.9,False
2024-01-15T00:31:30,88.72,69.27,1115.6,False
2024-01-15T00:32:00,87.55,67.73,1183.0,False
